Simulation_Potential,Z,Density,PMF
0.2,10.0,0.00032499808824653975,3.580567192837549
0.2,12.0,0.0003899977058958477,3.4681967013101795
0.2,14.0,0.0005658790242410339,3.238773851508199
0.2,16.0,0.0014911676990135353,2.641589162846774
0.2,18.0,0.0026879253651449107,2.2784404730559316
0.2,20.0,0.003639978588361245,2.0915637884719622
0.2,22.0,0.0051655578496597075,1.875826056956949
0.2,24.0,0.007260839642119752,1.6659760958959398
0.2,26.0,0.009864647855012617,1.4770939774925238
0.2,28.0,0.012353750860289057,1.3384180132692038
0.2,30.0,0.014399327062781984,1.2439826490672368
0.2,32.0,0.01460579643649155,1.2352079443085673
0.2,34.0,0.014269327827483368,1.2495722488497405
0.2,36.0,0.008912594631796283,1.5396467029935383
0.2,38.0,0.006947312074634855,1.693181357697418
0.2,40.0,0.008178481303051158,1.5926258864750666
0.2,42.0,0.010889347709719355,1.4161834325258598
0.2,44.0,0.007968188422421045,1.6086808905795835
0.2,46.0,0.00618261069052535,1.7650543506363858
0.2,48.0,0.004962911982870689,1.9004919092634434
0.2,50.0,0.004779383650684408,1.923715932197934
0.2,52.0,0.004802324692207693,1.9207646192083945
0.2,54.0,0.004431444520914583,1.970301945702046
0.2,56.0,0.004607325839259769,1.9463130952412682
0.2,58.0,0.004473503097040606,1.9644799660711096
0.2,60.0,0.004209681119522826,2.001943600141512
0.2,62.0,0.004320562820218705,1.9859197400154698
0.2,64.0,0.004519385180087176,1.9581908160755095
0.2,66.0,0.004397032958629655,1.9751066319351729
0.2,68.0,0.004312915806377609,1.9870115584615156
0.2,70.0,0.004527032193928271,1.9571488355202868
0.2,72.0,0.004370268410185822,1.9788696784800224
0.2,74.0,0.004377915424026917,1.9777921758426205
